연수명,연수시간,연수주제,후기 수,좋아요 수가격,
유럽에 미치다,30시간,인문·교양,237,183,"75,000원"
쉽고 재미있는 학교 속 다문화 교육 베스트 15,15시간,생활지도,269,94,"40,000원"
위로와 격려로 다시 쓰는 교사 위기 극복 가이드,60시간,생활지도,10,106,"120,000원"
최재붕 교수가 알려주는 교실 속 포노 사피엔스,15시간,ICT·스마트,154,92,"40,000원"
만물박사로 거듭나는 아하 그렇구나!,60시간,인문·교양,34,84,"120,000원"
"영단기 신토익 스타트 LC, RC 700+",60시간,어학,9,37,"120,000원"
"선생님을 위한 1% 교양 충전, 손안의 문학?미술 여행",30시간,인문·교양,135,111,"75,000원"
"교사, 책 쓰기로 작가가 되다",30시간,인문·교양,147,202,"75,000원"
"극한직업, 선생님을 부탁해",30시간,생활지도,74,92,"75,000원"
한국어 교원양성과정 [3급] - step3,15시간,자격증,41,37,"40,000원"
"1인 미디어 전성시대, 유튜브 브런치",15시간,ICT·스마트,183,208,"40,000원"
"교사, 여행에 미치다",30시간,인문·교양,289,260,"70,000원"
"한 학기 한 권 읽기, 교사가 지치지 않는 독서교육",30시간,학습지도,205,166,"70,000원"
영단기 신토익 스타트 RC 700+,30시간,어학,73,31,"70,000원"
영단기 신토익 스타트 LC 700+,30시간,어학,39,15,"70,000원"
소통과 공감의 수업 만들기 - 게임리터러시 교육,15시간,학습지도,815,97,0원
온라인으로 떠나는 다문화 여행,30시간,생활지도,162,117,"50,000원"
"행복한 두드림, 유아 학급솔루션 - 유아 학급운영, 어떻게 할까?",30시간,유아교육,86,158,"70,000원"
온라인으로 훈련하는 체험 안전 베스트 15,15시간,생활지도,322,157,"40,000원"
미술로 만나는 아이들의 심리,60시간,생활지도,104,321,"110,000원"
한국어 교원양성과정 [3급] - step2,30시간,자격증,65,42,"75,000원"
301구로 끝내는 중국어 회화,60시간,어학,10,28,"110,000원"
야나두 기초 영어 step2,15시간,어학,53,48,"40,000원"
야나두 기초 영어 step1,30시간,어학,179,139,"70,000원"
사기충전! 아이들에게 역사를 말랑말랑하게,30시간,학습지도,40,65,"70,000원"
조승연의 비법영어 심화편,15시간,어학,55,99,"40,000원"
"정혜신의 적정심리학, 당신이 옳다",30시간,인문·교양,624,478,"70,000원"
이현석과 함께하는 일상탈출! 거침없이 떠나는 여행영어,15시간,어학,82,87,"40,000원"
교사와 학생 모두 행복한 실내 체육 수업,30시간,교과지도,89,120,"70,000원"
"그림 속 세계사, 경제를 읽다",30시간,인문·교양,149,217,"70,000원"
교사와 학생이 함께 풀어 가는 수업 방해,30시간,학습지도,40,172,"70,000원"
저는 교육연극이 처음인데요?,30시간,학습지도,34,69,"70,000원"
상담쌤과 알아보는 우리학급 동상이몽,30시간,생활지도,57,193,"70,000원"
"프로젝트 수업, 어디까지 해봤니?",15시간,학습지도,134,255,"40,000원"
수업이 즐거운 교육과정-수업-평가-기록의 일체화,15시간,학습지도,83,142,"40,000원"
코딩 딱 지금만큼만 하면 나도 수업전문가,30시간,ICT·스마트,31,78,"70,000원"
최성애 박사가 전하는 애착 심리학,15시간,생활지도,131,197,"40,000원"
문화유산 여행! 대한민국 테마기행,30시간,인문·교양,92,122,"70,000원"
미술로 만나는 아이들의 마음,30시간,생활지도,87,196,"70,000원"
조승연의 비법영어,30시간,어학,229,306,"70,000원"
교사의 월급통장을 사수하라!,30시간,인문·교양,539,996,"70,000원"
301구로 끝내는 중국어 회화(상),30시간,어학,51,44,"70,000원"
일상이 더 즐거워지는 스마트폰 사진 촬영,15시간,인문·교양,147,350,"40,000원"
교육과정-수업-평가-기록을 일체화하는 과정중심평가,15시간,학습지도,235,322,"40,000원"
"쉽고, 재미있게 시작하는 학교에서의 메이커교육",15시간,학습지도,59,96,"40,000원"
똘배쌤의 실生활 수학,30시간,교과지도,62,121,"70,000원"
알기 쉬운 교직실무,60시간,학습지도,394,502,"110,000원"
야나두 리얼 스피킹 1,30시간,어학,448,437,"70,000원"
사람을 소중히 여기는 수학 수업,30시간,교과지도,69,124,"70,000원"
온라인으로 훈련하는 체험 안전교육,30시간,생활지도,270,112,"70,000원"
"수업, 하나만 바꿔 보자!",15시간,학습지도,92,177,"40,000원"
서쌤과 전쌤의 배틀! 전통놀이,15시간,학습지도,56,112,"40,000원"
소금별의 사소한 IT 이야기,15시간,ICT·스마트,73,159,"40,000원"
천천히 읽고 생각이 커지는 슬로리딩 교실 수업,30시간,학습지도,59,113,"70,000원"
이원복 교수의 신의 나라 인간 나라,30시간,인문·교양,62,81,"70,000원"
다양한 펜으로 마음을 전하는 손글씨 - 캘리그라피,15시간,인문·교양,311,424,"40,000원"
영상 소설 TV문학관,30시간,교과지도,185,209,"60,000원"
"영화, 질문하고 답하다 - 영화 인문학",15시간,인문·교양,183,353,"40,000원"
대한민국 행복교육 프로젝트,30시간,학습지도,163,158,"70,000원"
최태성의 한눈에 사로잡는 한국사능력 검정시험 심화,60시간,자격증,477,293,"110,000원"
미술로 보는 아이들의 심리,30시간,생활지도,651,686,"60,000원"
"조정?화해?평화의 실천, 회복적 생활교육으로 학급을 운영하다",30시간,생활지도,217,239,"60,000원"
서준호 선생님의 고학년 학급운영,30시간,생활지도,59,133,"60,000원"
NEW 다이나믹 일본어 회화 입문,30시간,어학,144,87,"60,000원"
"체험중심의 미래교육, VR",15시간,ICT·스마트,85,77,"35,000원"
Essential Grammar in Use,60시간,어학,110,113,"110,000원"
학습부진 학생을 위한 학습코칭 지도법,15시간,학습지도,285,215,"35,000원"
야나두 영작문,30시간,어학,536,373,"60,000원"
앞서가는 선생님의 자격! Excel 2013,30시간,ICT·스마트,475,728,"60,000원"
